feature,source,mean_abs_shap
cnn_1119,CNN,0.22651972
cnn_1078,CNN,0.18940556
cnn_271,CNN,0.17003246
cnn_368,CNN,0.14128265
cnn_582,CNN,0.10199275
cnn_990,CNN,0.10063661
cnn_518,CNN,0.098382495
cnn_96,CNN,0.09424424
cnn_1192,CNN,0.070458926
vit_209,ViT,0.06493472
vit_173,ViT,0.057705417
cnn_350,CNN,0.056779075
cnn_684,CNN,0.05653955
cnn_311,CNN,0.053637937
vit_111,ViT,0.051770914
cnn_499,CNN,0.048056528
cnn_924,CNN,0.04241054
cnn_1015,CNN,0.038178388
cnn_507,CNN,0.03792933
vit_302,ViT,0.0347486
cnn_168,CNN,0.03290565
glcm_contrast_90,Handcrafted,0.03198501
cnn_438,CNN,0.03181802
cnn_1140,CNN,0.031681553
vit_50,ViT,0.031009138
cnn_635,CNN,0.030930264
cnn_403,CNN,0.030866835
cnn_846,CNN,0.030406768
cnn_121,CNN,0.03009107
vit_55,ViT,0.029848577
cnn_128,CNN,0.029799828
vit_205,ViT,0.028842464
cnn_199,CNN,0.02866216
vit_285,ViT,0.028305506
vit_138,ViT,0.028179025
cnn_685,CNN,0.028124254
vit_31,ViT,0.027734706
cnn_1066,CNN,0.026546512
vit_58,ViT,0.02647233
glcm_contrast_0,Handcrafted,0.026198091
cnn_879,CNN,0.026078157
cnn_1128,CNN,0.025995797
vit_57,ViT,0.025916748
cnn_1012,CNN,0.025849072
cnn_330,CNN,0.025778463
vit_304,ViT,0.025580218
vit_270,ViT,0.025422964
vit_73,ViT,0.024678027
vit_71,ViT,0.024335194
cnn_273,CNN,0.023961224
cnn_172,CNN,0.023292644
vit_320,ViT,0.023119502
glcm_energy_90,Handcrafted,0.022889165
cnn_600,CNN,0.022813024
cnn_865,CNN,0.02269842
cnn_761,CNN,0.022463117
cnn_1005,CNN,0.022345304
vit_32,ViT,0.022227544
vit_124,ViT,0.02204001
cnn_24,CNN,0.02039114
cnn_773,CNN,0.020140888
cnn_828,CNN,0.020010564
cnn_414,CNN,0.01960197
cnn_789,CNN,0.01955768
cnn_536,CNN,0.019223714
cnn_42,CNN,0.0189685
cnn_740,CNN,0.01846101
cnn_1074,CNN,0.018083813
vit_312,ViT,0.01790964
cnn_176,CNN,0.01783751
cnn_1169,CNN,0.017581217
cnn_1151,CNN,0.01734176
cnn_269,CNN,0.01722601
cnn_625,CNN,0.017112873
cnn_374,CNN,0.016993593
cnn_1008,CNN,0.016626393
vit_371,ViT,0.016603012
vit_5,ViT,0.016582346
cnn_556,CNN,0.016541356
cnn_38,CNN,0.016335186
cnn_14,CNN,0.0162055
vit_15,ViT,0.016175067
cnn_736,CNN,0.0161403
cnn_757,CNN,0.015936922
cnn_988,CNN,0.015922094
cnn_296,CNN,0.015107273
vit_74,ViT,0.0150646
cnn_55,CNN,0.014991852
vit_75,ViT,0.014959012
cnn_690,CNN,0.014890523
cnn_904,CNN,0.01486259
vit_204,ViT,0.014500242
cnn_280,CNN,0.014481906
glcm_energy_0,Handcrafted,0.014470662
cnn_607,CNN,0.014430011
cnn_292,CNN,0.01441336
cnn_966,CNN,0.014259853
cnn_1060,CNN,0.0141488435
vit_78,ViT,0.014105379
cnn_926,CNN,0.0137778
cnn_572,CNN,0.013617504
cnn_872,CNN,0.013547888
vit_134,ViT,0.013445808
vit_106,ViT,0.013291746
vit_30,ViT,0.013213761
cnn_537,CNN,0.013120156
cnn_751,CNN,0.012894589
cnn_1236,CNN,0.01280112
vit_67,ViT,0.012763022
cnn_93,CNN,0.012762354
cnn_202,CNN,0.012701392
vit_374,ViT,0.012580838
cnn_1077,CNN,0.012522739
cnn_183,CNN,0.012478181
cnn_760,CNN,0.0124573205
cnn_62,CNN,0.012267902
vit_359,ViT,0.012217906
cnn_151,CNN,0.012087613
