held_out,target_fraction,n_adapt_samples,n_test_samples,test_macro_f1,test_qwk
APTOS,0.0,0,1480,0.3697785171256184,0.6432822009417074
APTOS,0.05,74,1406,0.42706496279591677,0.8099654365148854
APTOS,0.1,148,1332,0.45040038142179456,0.8331220083623265
APTOS,0.2,296,1184,0.44901793539768037,0.8511495881291337
APTOS,0.3,444,1036,0.489045181194132,0.8700972156240223
IDRiD,0.0,0,516,0.37737844352990557,0.6974432807746789
IDRiD,0.05,25,491,0.39163795169942556,0.6707126704082473
IDRiD,0.1,51,465,0.4496515593532477,0.6993062946775667
IDRiD,0.2,103,413,0.4521549454627586,0.7329884222994918
IDRiD,0.3,154,362,0.4669902612691243,0.721757346478066
Messidor,0.0,0,1744,0.29677113086690415,0.3537310504269786
Messidor,0.05,87,1657,0.2776297990503284,0.39628804716322963
Messidor,0.1,174,1570,0.2983484756048856,0.43254205717294847
Messidor,0.2,348,1396,0.3092063072919054,0.44407849317882553
Messidor,0.3,523,1221,0.35077441910995283,0.4719165063062042
